"179,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",1,1,0"
"180,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",217000,136,0"
"181,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",166000,105,0"
"182,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",195000,119,0"
"183,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",130000,96,0"
"184,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",82000,62,0"
"185,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",46900,46,0"
"186,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",107000,74,0"
"187,""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",78400,65,0"
"188,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",214000,138,0"
"189,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",1,1,0"
"190,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",246000,153,0"
"191,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",343000,198,0"
"192,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",84700,63,0"
"193,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",195000,117,0"
"194,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",182000,111,0"
"195,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",175000,107,0"
"196,""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",211000,132,0"
"197,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",160000,106,0"
"198,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",246000,152,0"
"199,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",1,1,0"
"200,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",152000,97,0"
"201,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",180000,113,0"
"202,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",196000,115,0"
"203,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Wittevrouwensingel 95A, 3514 AL Utrecht, Netherlands"",138000,84,0"
"204,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Hommelseweg 231, 6821 LG Arnhem, Netherlands"",94300,59,0"
"205,""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",""Zeugstraat 92, 2801 JD Gouda, Netherlands"",179000,114,0"
"206,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Jacob van Lennepstraat 46III, 1053 HL Amsterdam, Netherlands"",188000,119,0"
"207,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Kerkstraat 16, 6223 BK Maastricht, Netherlands"",343000,197,0"
"208,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Lambertus Buddestraat 70, 7521 SB Enschede, Netherlands"",152000,98,0"
"209,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",1,1,0"
"210,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Vossenbeemd 102, 5705 CL Helmond, Netherlands"",261000,156,0"
"211,""Groningerweg 45/2, 9738 AB Groningen, Netherlands"",""Boterdiep 28, 3077 AW Rotterdam, Netherlands"",252000,143,0"
